Algoritmo,Base,Repeticao,D,Dp,Dn,Atributos,I,Tempo,Testes,Seed,WRAcc,size,TP,FP,SUPP,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDP,borovecki-pn-freq-8,6,31,17,14,22283,178257,4.647,3208626,119777719,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,7,31,17,14,22283,178257,4.664,3208626,117705823,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,8,31,17,14,22283,178257,4.774,3208626,112131119,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,9,31,17,14,22283,178257,4.711,3208626,108626351,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-freq-8,10,31,17,14,22283,178257,4.68,3208626,107980007,0.090322581,1,6.2,0,0.882352941,6.2,6.390862745,0.011921749,1.823529412,0.364705882,5,Infinity,Infinity,0.2,1,0.2,0.364705882,0
SSDP,borovecki-pn-width-2,1,31,17,14,22283,44566,1.466,891320,179424673,0.233090531,1.2,16,0,1,16,27.32558824,3.13E-07,1.823529412,0.941176471,5,Infinity,Infinity,0.516129032,1,0.516129032,0.941176471,0
SSDP,borovecki-pn-width-2,2,31,17,14,22283,44566,1.779,1069584,125164703,0.236004162,1.4,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-2,3,31,17,14,22283,44566,1.7,1069584,132011827,0.236004162,1.6,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-2,4,31,17,14,22283,44566,1.794,1114150,124987441,0.236004162,1.6,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-2,5,31,17,14,22283,44566,1.607,980452,123979721,0.236004162,1.4,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-2,6,31,17,14,22283,44566,1.622,980452,119777719,0.236004162,1.6,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
SSDP,borovecki-pn-width-2,7,31,17,14,22283,44566,1.779,1069584,117705823,0.236004162,1.4,16.2,0,1,16.2,27.98509804,1.50E-07,1.823529412,0.952941176,5,Infinity,Infinity,0.522580645,1,0.522580645,0.952941176,0
